35	160
292	599
161	35
418	25
188	22
276	1
303	1
344	596
347	4
16	204
252	596
449	40
18	198
74	103
31	432
592	232
296	599
78	99
421	26
394	16
450	41
275	2
16	204
518	506
406	20
8	232
144	556
494	528
194	580
240	593
238	593
12	216
265	3
558	147
43	146
245	594
405	19
257	4
493	71
577	415
261	3
569	432
250	5
448	40
544	474
23	415
419	25
405	581
472	545
480	60
482	62
55	473
288	1
154	562
355	594
19	195
542	477
445	38
150	41
330	2
377	11
84	92
499	76
1	324
11	220
169	31
316	599
99	522
519	95
227	10
446	562
329	598
355	6
539	119
343	596
106	72
47	461
521	98
313	1
26	178
316	599
20	193
29	428
543	125
262	3
87	89
145	44
94	82
490	68
68	110
514	90
386	13
272	2
365	592
354	595
77	500
569	432
37	444
186	23
197	581
249	5
418	575
168	569
104	73
150	41
558	147
586	390
63	117
198	582
209	15
153	561
38	446
181	25
328	2
303	599
586	390
244	594
25	181
296	1
281	599
522	99
228	9
564	158
541	122
599	324
155	38
371	9
49	136
243	6
450	559
327	598
321	599
235	592
231	591
69	109
206	584
124	58
570	170
204	16
175	572
69	491
438	34
267	2
33	164
289	1
62	482
351	595
120	540
586	390
176	27
330	2
435	33
287	1
269	2
285	599
483	63
198	18
502	79
510	86
355	594
346	596
520	503
98	521
449	40
437	34
48	138
540	480
283	599
479	60
247	595
195	19
507	517
597	342
583	201
48	138
11	380
538	482
252	596
428	571
257	4
113	534
300	0
470	53
284	599
391	15
287	1
283	599
188	22
397	17
78	501
196	581
125	543
516	92
399	17
563	444
580	407
472	55
191	21
277	1
88	512
533	112
598	334
64	485
450	41
60	120
14	390
142	555
245	6
518	506
244	594
200	582
86	90
23	185
533	488
364	593
548	132
588	384
514	90
183	24
168	569
45	142
116	536
371	9
294	599
283	1
511	513
234	8
338	597
26	422
299	1
56	474
499	76
520	97
502	79
460	553
387	13
460	553
218	588
255	596
205	16
95	81
509	515
411	22
165	567
14	390
531	109
572	426
515	91
45	458
238	7
362	593
575	181
404	581
86	510
357	6
38	446
350	595
33	436
351	5
75	498
37	156
75	102
317	1
262	597
351	595
150	559
574	178
392	15
587	213
556	456
313	599
301	599
388	586
455	44
555	458
144	556
452	42
511	513
302	599
185	577
50	135
219	588
451	41
218	588
364	593
558	453
121	540
69	109
197	581
499	524
266	2
543	475
568	434
193	20
460	553
184	24
594	359
304	1
253	4
16	396
323	599
458	555
494	72
275	598
285	1
530	108
129	54
590	376
475	57
359	6
67	488
423	573
51	133
586	390
322	1
496	527
308	1
459	554
454	557
299	1
184	576
575	181
44	456
535	114
362	7
397	583
414	577
89	87
49	136
259	597
83	93
515	509
523	500
549	467
413	23
377	589
354	595
390	14
326	2
79	502
90	514
357	594
49	136
123	542
0	300
569	168
255	4
536	115
44	456
397	17
334	598
145	556
31	432
372	591
11	380
473	545
157	563
397	17
353	5
505	81
316	1
527	496
215	13
306	599
3	342
182	25
526	497
182	25
171	30
436	567
408	579
595	354
41	149
216	588
42	453
599	276
353	595
34	438
586	210
108	530
60	120
348	596
169	31
173	571
43	146
490	532
497	526
271	598
505	81
554	459
543	475
184	24
444	37
29	172
274	598
427	29
587	387
323	599
297	1
186	577
9	372
258	597
433	32
202	17
592	368
368	8
77	500
562	446
247	595
132	548
419	575
435	567
164	33
112	67
221	11
41	149
10	376
473	545
149	559
56	474
252	596
133	51
31	168
511	513
407	580
395	16
370	591
8	232
483	537
318	599
127	55
597	258
594	359
498	525
96	519
212	14
367	592
437	566
145	44
580	193
568	434
559	451
242	594
333	598
277	599
425	572
395	584
355	594
326	2
425	572
399	583
3	342
47	139
516	92
161	565
260	3
199	18
443	563
24	417
415	23
500	77
310	599
86	90
207	15
320	599
411	22
37	156
433	568
255	596
103	526
304	1
101	76
366	8
531	491
8	368
490	532
93	83
528	494
284	599
189	22
293	1
179	574
7	236
82	506
499	524
289	599
301	599
265	3
378	11
443	37
61	119
298	599
284	599
163	34
472	55
473	55
578	188
357	6
448	40
474	544
374	10
438	566
466	549
573	424
488	533
416	24
332	2
339	597
590	376
260	3
118	62
70	492
121	540
93	83
197	581
412	22
350	5
323	599
475	57
565	160
282	1
581	195
400	18
96	81
85	91
117	63
428	571
585	207
392	585
144	556
113	534
150	41
310	1
355	594
429	570
140	47
414	577
342	3
45	142
214	13
534	487
60	120
355	594
414	577
217	12
49	136
433	32
90	86
258	3
586	390
267	598
240	7
302	599
40	151
225	590
